,wti
1995-01-01,17.97590909
1995-02-01,18.542
1995-03-01,18.54043478
1995-04-01,19.764
1995-05-01,19.69347826
1995-06-01,18.41636364
1995-07-01,17.31904762
1995-08-01,18.03217391
1995-09-01,18.21571429
1995-10-01,17.44363636
1995-11-01,17.97954545
1995-12-01,19.04571429
1996-01-01,18.90086957
1996-02-01,19.07952381
1996-03-01,21.33380952
1996-04-01,23.53181818
1996-05-01,21.26695652
1996-06-01,20.439
1996-07-01,21.30913043
1996-08-01,21.92772727
1996-09-01,23.91
1996-10-01,24.90086957
1996-11-01,23.70666667
1996-12-01,25.51636364
1997-01-01,25.19869565
1997-02-01,22.217
1997-03-01,20.97190476
1997-04-01,19.71545455
1997-05-01,20.85454545
1997-06-01,19.15571429
1997-07-01,19.62565217
1997-08-01,19.92714286
1997-09-01,19.78227273
1997-10-01,21.26391304
1997-11-01,20.07
1997-12-01,18.30956522
1998-01-01,16.74681818
1998-02-01,16.061
1998-03-01,15.02045455
1998-04-01,15.25272727
1998-05-01,14.84714286
1998-06-01,13.65954545
1998-07-01,14.09782609
1998-08-01,13.36285714
1998-09-01,14.93090909
1998-10-01,14.38772727
1998-11-01,12.78047619
1998-12-01,11.26695652
1999-01-01,12.43571429
1999-02-01,12.004
1999-03-01,14.66086957
1999-04-01,17.31090909
1999-05-01,17.74333333
1999-06-01,17.88909091
1999-07-01,20.05454545
1999-08-01,21.25727273
1999-09-01,23.79727273
1999-10-01,22.59047619
1999-11-01,25.07681818
1999-12-01,26.0426087
2000-01-01,27.22428571
2000-02-01,29.36238095
2000-03-01,29.89217391
2000-04-01,25.799
2000-05-01,28.83347826
2000-06-01,31.85909091
2000-07-01,29.98380952
2000-08-01,31.21869565
2000-09-01,33.86
2000-10-01,33.075
2000-11-01,34.555
2000-12-01,28.38809524
2001-01-01,29.48217391
2001-02-01,29.5835
2001-03-01,27.24136364
2001-04-01,27.45380952
2001-05-01,28.61043478
2001-06-01,27.60095238
2001-07-01,26.43590909
2001-08-01,27.46782609
2001-09-01,26.211
2001-10-01,22.21043478
2001-11-01,19.58409091
2001-12-01,19.31761905
2002-01-01,19.6073913
2002-02-01,20.7755
2002-03-01,24.50809524
2002-04-01,26.26636364
2002-05-01,27.00391304
2002-06-01,25.521
2002-07-01,26.93
2002-08-01,28.38136364
2002-09-01,29.63285714
2002-10-01,28.85391304
2002-11-01,26.3247619
2002-12-01,29.54863636
2003-01-01,32.91173913
2003-02-01,35.915
2003-03-01,33.21904762
2003-04-01,28.35772727
2003-05-01,28.22363636
2003-06-01,30.7247619
2003-07-01,30.7473913
2003-08-01,31.59190476
2003-09-01,28.45136364
2003-10-01,30.33086957
2003-11-01,30.9625
2003-12-01,32.20434783
2004-01-01,34.14636364
2004-02-01,34.722
2004-03-01,36.76086957
2004-04-01,36.71909091
2004-05-01,40.27285714
2004-06-01,38.04136364
2004-07-01,40.685
2004-08-01,44.93590909
2004-09-01,45.86090909
2004-10-01,53.16714286
2004-11-01,48.53227273
2004-12-01,43.27913043
2005-01-01,46.99190476
2005-02-01,47.9905
2005-03-01,54.09304348
2005-04-01,53.03666667
2005-05-01,49.92227273
2005-06-01,56.30545455
2005-07-01,58.70571429
2005-08-01,64.96826087
2005-09-01,65.65772727
2005-10-01,62.37047619
2005-11-01,58.31136364
2005-12-01,59.36636364
2006-01-01,65.23272727
2006-02-01,61.544
2006-03-01,62.89956522
2006-04-01,69.6735
2006-05-01,70.95913043
2006-06-01,70.95772727
2006-07-01,74.36142857
2006-08-01,73.04869565
2006-09-01,64.11904762
2006-10-01,58.87818182
2006-11-01,59.28909091
2006-12-01,62.02857143
2007-01-01,54.78
2007-02-01,59.2695
2007-03-01,60.56409091
2007-04-01,63.9747619
2007-05-01,63.51347826
2007-06-01,67.47857143
2007-07-01,74.04636364
2007-08-01,72.39217391
2007-09-01,79.633
2007-10-01,85.92652174
2007-11-01,94.76636364
2007-12-01,91.7747619
2008-01-01,92.9826087
2008-02-01,95.36142857
2008-03-01,105.5038095
2008-04-01,112.3363636
2008-05-01,125.6713636
2008-06-01,133.9280952
2008-07-01,133.9582609
2008-08-01,116.6971429
2008-09-01,104.4436364
2008-10-01,76.28391304
2008-11-01,56.968
2008-12-01,40.64434783
2009-01-01,41.63090909
2009-02-01,39.0785
2009-03-01,47.98
2009-04-01,49.90590909
2009-05-01,59.25714286
2009-06-01,69.67227273
2009-07-01,64.20869565
2009-08-01,71.06428571
2009-09-01,69.39772727
2009-10-01,75.82363636
2009-11-01,77.97238095
2009-12-01,74.62565217
2010-01-01,78.41857143
2010-02-01,76.308
2010-03-01,81.24217391
2010-04-01,84.49772727
2010-05-01,73.84238095
2010-06-01,75.34909091
2010-07-01,76.17727273
2010-08-01,76.61818182
2010-09-01,75.27363636
2010-10-01,81.90238095
2010-11-01,84.14863636
2010-12-01,89.36695652
2011-01-01,89.52380952
2011-02-01,89.414
2011-03-01,102.9356522
2011-04-01,110.147619
2011-05-01,101.2990909
2011-06-01,96.28863636
2011-07-01,97.07809524
2011-08-01,86.33434783
2011-09-01,85.64818182
2011-10-01,86.41190476
2011-11-01,97.10909091
2011-12-01,98.56681818
2012-01-01,100.1022727
2012-02-01,102.2971429
2012-03-01,106.1872727
2012-04-01,103.3257143
2012-05-01,94.53478261
2012-06-01,82.40047619
2012-07-01,87.91909091
2012-08-01,94.11826087
2012-09-01,94.7045
2012-10-01,89.59652174
2012-11-01,86.72090909
2012-12-01,88.26285714
2013-01-01,94.72956522
2013-02-01,95.3095
2013-03-01,93.19904762
2013-04-01,92.06772727
2013-05-01,94.76695652
2013-06-01,95.7695
2013-07-01,104.4265217
2013-08-01,106.4354545
2013-09-01,106.3952381
2013-10-01,100.5569565
2013-11-01,93.85095238
2013-12-01,97.89045455
2014-01-01,94.96304348
2014-02-01,100.705
2014-03-01,100.5680952
2014-04-01,102.175
2014-05-01,101.9963636
2014-06-01,105.2347619
2014-07-01,102.9482609
2014-08-01,96.31714286
2014-09-01,93.27181818
2014-10-01,84.40608696
2014-11-01,75.7075
2014-12-01,59.13956522
2015-01-01,47.55727273
2015-02-01,50.857
2015-03-01,47.78227273
2015-04-01,54.37863636
2015-05-01,59.38857143
2015-06-01,59.82863636
2015-07-01,51.19869565
2015-08-01,42.91285714
2015-09-01,45.51
2015-10-01,46.26863636
2015-11-01,42.5852381
2015-12-01,37.39608696
2016-01-01,31.78428571
2016-02-01,30.37761905
2016-03-01,37.90173913
2016-04-01,41.03190476
2016-05-01,46.84181818
2016-06-01,48.79181818
2016-07-01,44.89619048
2016-08-01,44.75173913
2016-09-01,45.2
2016-10-01,49.80952381
2016-11-01,45.47090909
2016-12-01,52.05272727
2017-01-01,52.56181818
2017-02-01,53.45
2017-03-01,49.36304348
2017-04-01,51.174
2017-05-01,48.55956522
2017-06-01,45.18545455
2017-07-01,46.58190476
2017-08-01,48.04782609
2017-09-01,49.73571429
2017-10-01,51.57318182
2017-11-01,56.73818182
2017-12-01,57.92047619
2018-01-01,63.58478261
2018-02-01,62.227
2018-03-01,62.83045455
2018-04-01,66.31380952
2018-05-01,69.89869565
2018-06-01,67.87619048
2018-07-01,71.07454545
2018-08-01,67.9273913
2018-09-01,70.1905
2018-10-01,70.75304348
2018-11-01,56.18818182
2018-12-01,48.91904762
2019-01-01,51.2273913
2019-02-01,54.996
2019-03-01,58.17047619
2019-04-01,63.87045455
2019-05-01,60.74
2019-06-01,54.666
2019-07-01,57.37608696
2019-08-01,54.83045455
2019-09-01,56.86
2019-10-01,53.96086957
2019-11-01,56.67761905
2019-12-01,59.86772727
2020-01-01,57.71695652
2020-02-01,50.608
2020-03-01,29.32045455
2020-04-01,16.975
2020-05-01,28.78142857
2020-06-01,38.31454545
2020-07-01,40.71521739
2020-08-01,42.37095238
2020-09-01,39.59818182
2020-10-01,39.405
2020-11-01,41.38904762
2020-12-01,47.07043478
2021-01-01,51.84952381
2021-02-01,59.2345
2021-03-01,62.18391304
2021-04-01,61.41772727
2021-05-01,65.16095238
2021-06-01,71.37727273
2021-07-01,72.59181818
2021-08-01,67.87227273
2021-09-01,71.535
2021-10-01,81.36428571
2021-11-01,79.09545455
2021-12-01,71.80217391
2022-01-01,83.27761905
2022-02-01,91.608
2022-03-01,108.3991304
2022-04-01,101.9852381
2022-05-01,109.7127273
2022-06-01,114.6759091
2022-07-01,101.9180952
2022-08-01,93.6926087
2022-09-01,84.4
2022-10-01,87.28666667
2022-11-01,84.07636364
2022-12-01,76.58181818
2023-01-01,78.25136364
2023-02-01,77.0275
2023-03-01,73.34826087
2023-04-01,79.1265
2023-05-01,71.67347826
2023-06-01,70.30681818
2023-07-01,75.76666667
2023-08-01,81.3726087
2023-09-01,89.24095238
2023-10-01,85.46909091
2023-11-01,77.57545455
2023-12-01,72.01952381
